username,is_anime_face,contribs
1,False,36
4,False,53
7,False,93
17,False,300
18,False,3
19,False,4
20,False,33
21,False,9
22,False,10
25,False,137
26,False,136
27,False,5
29,False,46
34,False,17
35,False,2
38,False,6
45,False,16
46,False,1
47,False,277
51,False,24
52,False,1
68,False,205
69,False,299
70,False,12
71,False,182
72,False,3
74,False,30
75,False,136
76,False,298
77,False,3
78,False,298
79,False,22
80,False,290
81,False,128
82,False,35
85,False,27
87,False,1
88,False,11
89,False,23
90,False,14
91,False,1
92,False,6
93,False,8
94,False,2
95,False,6
100,False,29
101,False,3
103,False,19
104,True,9
106,False,72
107,False,51
108,False,67
109,False,18
111,False,136
112,False,1
113,False,55
114,False,1
115,False,8
117,False,106
118,False,65
119,False,16
120,False,6
121,False,300
123,False,7
124,False,25
125,False,2
127,False,135
128,False,294
129,False,294
130,False,93
131,False,9
132,False,295
133,False,155
134,False,297
136,False,2
137,False,107
138,False,9
139,True,297
141,False,282
143,False,8
145,False,30
147,False,124
150,False,57
151,False,57
152,False,4
153,False,281
154,False,25
155,False,37
158,False,4
159,False,83
160,False,10
161,False,8
163,False,58
165,False,3
166,False,8
168,False,5
169,False,91
170,False,28
171,False,1
172,False,59
173,False,40
175,False,16
176,False,99
179,False,277
180,False,33
182,False,37
183,False,180
184,False,20
185,False,43
187,False,89
188,False,290
191,False,4
192,False,50
193,False,44
194,False,6
197,False,10
198,False,280
199,False,43
200,False,99
201,False,7
203,False,9
206,False,10
207,False,100
209,False,2
210,False,3
211,False,299
212,False,50
213,False,17
214,False,20
215,False,230
216,False,300
217,False,281
218,False,74
219,False,2
220,False,7
221,False,3
222,False,5
225,False,205
226,False,4
227,False,8
230,False,3
232,False,13
233,False,299
234,False,12
235,False,99
236,False,3
237,False,1
238,False,2
239,False,1
240,False,146
241,False,1
243,False,23
244,False,5
245,False,231
246,False,279
247,False,46
249,False,24
252,False,4
253,False,6
255,False,268
256,False,7
257,False,10
258,False,5
260,False,4
261,False,13
262,False,15
263,False,5
264,False,1
265,False,12
266,False,138
269,False,233
270,False,14
272,False,1
273,False,4
274,False,4
276,False,57
277,False,1
278,False,298
279,False,1
280,False,22
281,False,67
282,False,34
286,False,2
287,False,102
288,False,38
290,False,3
291,False,186
292,False,298
293,False,3
294,False,9
297,False,13
298,False,211
299,False,43
300,False,287
302,False,43
304,False,10
305,False,20
306,False,30
307,False,10
308,False,30
310,False,81
311,False,8
312,False,1
314,False,33
316,False,1
318,False,294
320,False,58
321,False,6
323,True,2
325,False,4
328,False,1
329,False,23
330,False,6
331,False,283
332,False,1
334,False,2
335,False,66
336,False,9
338,False,16
339,False,24
340,False,15
343,False,3
346,False,226
347,False,10
348,False,21
349,False,41
350,False,16
353,False,266
354,False,294
355,False,153
356,False,1
357,False,232
360,False,22
362,False,15
363,False,54
365,False,2
366,False,20
368,False,12
369,False,299
370,False,239
372,False,116
373,False,33
374,False,1
375,False,106
378,False,179
379,False,22
381,False,18
383,False,37
384,False,133
385,False,63
386,False,11
388,False,19
389,False,10
394,False,64
395,False,7
397,False,4
398,False,3
399,False,19
400,False,4
401,False,44
402,False,26
405,False,276
406,False,15
408,False,20
410,False,255
411,False,7
412,False,131
414,False,25
415,False,299
417,False,228
420,False,300
421,False,3
422,False,10
423,False,40
426,False,7
427,False,15
428,False,23
429,False,46
430,False,4
432,False,1
433,False,117
435,False,63
437,False,15
439,False,24
440,False,5
441,False,32
442,False,78
444,False,19
445,False,30
447,False,39
448,False,19
450,False,3
451,False,7
452,False,81
454,False,43
456,False,28
458,False,89
459,False,1
460,False,29
461,False,250
465,False,23
466,False,11
467,False,2
468,False,240
469,False,8
470,False,102
471,False,30
472,False,168
473,False,46
474,False,13
475,False,214
476,False,36
477,False,7
479,False,11
480,False,11
482,False,5
484,False,10
485,False,16
486,False,5
487,False,6
491,False,91
492,False,3
493,False,3
494,False,22
495,False,2
498,False,26
499,False,69
500,False,262
501,False,61
503,False,2
505,False,22
508,False,1
509,False,167
510,False,33
512,False,285
513,False,4
515,False,39
516,False,1
518,False,208
519,False,17
521,False,7
522,False,4
523,False,17
524,False,9
525,False,8
527,False,5
529,False,41
530,False,2
531,False,8
532,False,28
533,False,299
534,False,6
535,False,83
536,False,1
537,False,6
538,False,6
540,False,108
542,False,1
543,False,151
545,False,26
546,False,22
547,False,300
549,False,7
550,False,4
553,False,11
554,False,159
556,False,10
557,False,3
559,False,8
561,False,1
563,False,285
564,False,63
565,False,80
566,False,3
567,False,6
568,False,1
570,False,11
571,False,101
572,False,20
574,False,3
576,False,5
577,False,12
578,False,24
579,False,300
581,False,1
583,True,75
584,False,9
585,False,4
586,False,3
587,False,2
588,False,6
589,False,14
590,False,2
591,False,8
593,False,300
594,False,39
596,False,286
597,False,3
598,False,9
599,False,1
600,False,1
602,False,116
604,False,7
605,False,300
606,False,4
608,False,68
610,False,33
613,False,145
614,False,14
615,False,17
616,False,39
618,False,232
619,False,3
620,False,8
621,False,2
622,False,15
623,False,26
625,False,1
626,False,95
627,False,5
628,False,4
629,False,5
630,False,11
631,False,9
632,False,41
633,False,8
634,False,300
635,False,6
636,False,71
637,False,1
638,False,37
640,False,227
641,False,282
642,False,1
645,False,8
647,False,190
648,False,81
649,False,12
650,False,184
651,False,5
656,False,15
657,False,10
658,False,294
659,False,10
661,False,7
664,False,6
668,False,21
669,False,270
670,False,10
671,False,23
673,False,1
674,False,45
675,False,16
677,False,2
679,False,13
680,False,208
682,False,8
683,False,2
684,False,67
685,False,1
686,False,179
687,False,58
688,False,12
689,False,9
690,False,239
693,False,13
694,False,236
695,False,299
696,False,96
697,False,7
698,False,272
699,False,15
701,False,72
702,False,6
703,False,1
706,False,12
707,False,2
708,False,1
709,False,1
710,False,37
711,False,14
713,False,31
714,False,277
716,False,88
718,False,207
720,False,52
721,False,46
723,False,17
724,False,7
726,False,1
728,False,1
730,False,256
731,False,48
734,False,1
735,False,10
736,False,22
737,False,7
740,False,32
742,True,5
743,False,43
744,False,73
745,False,44
747,False,44
748,False,4
752,False,257
754,False,20
755,False,34
756,False,1
757,False,60
758,False,48
759,False,3
760,False,13
761,False,2
762,False,1
763,False,2
764,False,21
766,False,31
767,False,300
771,False,1
772,False,285
773,False,7
775,False,16
776,False,19
777,False,1
778,False,20
779,False,3
781,False,17
782,False,2
784,False,1
787,False,2
791,False,19
792,False,300
793,False,6
794,False,21
795,False,2
796,False,4
797,False,283
799,False,1
800,False,1
804,True,27
805,False,4
806,False,216
810,False,48
813,False,2
816,False,10
817,False,10
818,False,4
819,False,214
820,False,90
822,False,26
824,False,1
825,False,18
828,False,13
830,False,2
831,False,81
832,False,18
833,False,15
835,False,40
836,False,96
837,False,93
838,False,13
842,False,284
843,False,68
846,False,13
847,False,19
848,False,1
849,False,2
851,False,138
853,False,16
854,False,15
855,False,83
857,False,12
860,False,7
861,False,3
863,False,129
865,False,4
866,False,81
867,False,58
868,False,1
869,False,274
870,False,9
871,False,1
872,False,30
874,False,4
875,False,34
877,False,300
878,False,10
879,False,5
880,False,1
881,False,15
882,False,2
884,False,33
886,False,290
887,False,281
890,False,11
891,False,28
895,False,1
897,False,4
898,False,40
899,False,1
901,False,3
902,False,19
903,False,29
908,False,3
910,False,4
912,False,4
913,False,7
919,False,44
922,False,22
923,False,44
924,False,30
925,False,86
926,False,47
927,False,130
932,False,23
934,False,1
936,False,5
937,False,4
939,False,293
940,False,38
941,False,10
944,False,3
945,False,19
947,False,111
949,False,57
950,False,10
951,False,12
953,False,3
954,False,10
955,False,207
956,False,300
957,False,17
958,False,1
959,False,6
965,False,5
966,False,21
967,False,46
969,False,1
970,False,243
971,False,8
974,False,6
975,False,10
977,False,5
978,False,4
980,False,148
982,False,81
983,False,219
984,False,18
986,False,1
987,False,1
988,False,296
989,False,7
990,False,290
991,False,1
992,False,3
993,False,19
994,False,10
995,False,2
997,False,5
1000,False,284
1001,False,3
1004,False,1
1007,False,19
1009,False,6
1010,False,22
1014,False,30
1016,False,3
1017,False,2
1019,False,52
1020,False,15
1021,False,7
1022,False,289
1024,False,4
1027,False,71
1032,False,40
1033,False,4
1034,False,46
1035,False,73
1037,False,16
1039,False,2
1041,False,9
1042,False,238
1044,False,15
1047,False,172
1048,False,3
1049,False,5
1050,False,88
1051,False,292
1052,False,13
1053,False,10
1056,False,57
1059,False,61
1060,False,300
1061,False,142
1062,False,2
1065,False,31
1066,False,274
1067,False,291
1068,False,7
1070,False,24
1071,False,227
1074,False,271
1075,False,296
1077,False,14
1078,False,3
1079,False,11
1080,False,1
1081,False,17
1082,False,268
1083,False,21
1084,False,34
1085,False,2
1088,False,1
1089,False,98
1090,False,295
1093,False,85
1095,False,119
1096,False,9
1099,False,1
1102,False,8
1103,False,21
1105,False,8
1106,False,300
1107,False,163
1108,False,6
1110,False,22
1112,False,130
1113,False,147
1114,False,27
1115,False,11
1116,False,27
1118,False,2
1120,False,1
1122,False,13
1123,False,5
1125,False,25
1128,False,16
1129,False,30
1131,False,1
1133,False,1
1134,False,293
1135,False,8
1137,False,2
1141,False,1
1144,False,1
1146,False,225
1151,False,296
1156,False,32
1157,False,16
1158,False,164
1159,False,8
1160,False,41
1161,False,60
1163,False,15
1164,False,115
1165,False,1
1166,False,1
1167,False,74
1168,False,68
1169,False,151
1172,False,224
1176,False,23
1178,False,120
1179,False,50
1181,False,300
1182,False,55
1183,False,61
1185,False,2
1186,False,17
1187,False,37
1188,False,3
1190,False,14
1191,False,15
1192,False,300
1194,False,41
1195,False,5
1197,False,1
1199,False,3
1201,False,9
1202,False,2
1204,False,14
1208,False,1
1209,False,7
1210,False,56
1211,False,41
1212,False,281
1213,False,21
1216,False,49
1217,False,5
1218,False,160
1219,False,2
1222,False,85
1223,False,100
1224,False,4
1226,False,7
1228,False,44
1229,False,3
1230,False,10
1232,False,160
1234,False,4
1235,False,1
1238,False,42
1240,False,4
1246,False,299
1249,False,97
1250,False,2
1254,False,9
1255,False,67
1256,False,20
1257,False,2
1258,False,281
1259,False,15
1261,False,25
1262,False,27
1263,False,7
1265,False,35
1266,False,1
1267,False,21
1270,False,226
1271,False,8
1274,False,188
1275,False,26
1276,False,1
1278,False,19
1279,False,13
1281,False,10
1282,False,13
1283,False,82
1284,False,273
1285,False,22
1286,False,56
1287,False,26
1291,False,35
1292,False,31
1295,False,27
1299,False,97
1300,False,67
1301,False,2
1302,False,21
1305,False,20
1306,False,5
1308,False,1
1309,False,1
1310,False,4
1314,False,27
1318,False,35
1321,False,62
1322,False,78
1324,False,13
1325,False,2
1327,False,9
1328,False,49
1329,False,1
1330,False,9
1332,False,20
1335,False,1
1338,False,10
1339,False,9
1344,False,67
1346,False,9
1348,False,207
1351,False,10
1352,False,8
1358,False,36
1361,False,10
1362,False,26
1365,False,54
1366,False,12
1367,False,24
1369,False,5
1370,False,3
1371,False,30
1374,False,31
1375,False,293
1377,True,263
1378,False,146
1380,False,49
1384,False,8
1385,False,2
1388,False,286
1390,False,1
1391,False,289
1394,False,4
1396,False,84
1397,False,1
1398,False,24
1400,False,3
1401,False,22
1402,False,47
1404,False,15
1405,False,20
1406,False,67
1407,False,9
1412,False,26
1416,False,52
1419,False,3
1420,False,7
1421,False,230
1422,False,15
1424,False,14
1425,False,4
1426,False,13
1428,False,178
1429,False,4
1430,False,236
1432,False,1
1434,False,11
1435,False,9
1436,False,11
1444,False,2
1447,False,4
1448,False,39
1452,False,128
1455,False,2
1458,False,2
1460,True,2
1461,False,3
1462,False,23
1464,False,24
1465,False,45
1466,False,9
1467,False,79
1468,False,1
1469,False,5
1470,False,62
1472,False,292
1473,False,1
1476,False,11
1477,False,31
1479,False,2
1481,False,5
1482,False,12
1483,False,14
1484,False,9
1485,False,1
1486,False,13
1487,False,2
1488,False,5
1489,False,1
1490,False,35
1496,False,48
1497,False,173
1499,False,9
1500,False,1
1501,False,17
1503,False,50
1505,False,7
1507,False,1
1509,False,1
1510,False,280
1511,False,1
1512,False,263
1513,False,158
1514,False,268
1516,False,1
1517,False,83
1518,False,33
1520,False,21
1521,False,19
1525,False,53
1527,False,77
1528,False,3
1529,False,3
1530,False,1
1532,False,1
1535,False,115
1540,False,5
1541,False,205
1542,False,72
1544,False,49
1545,False,65
1546,False,23
1547,False,89
1548,False,33
1549,False,45
1551,False,3
1552,False,4
1553,False,300
1554,False,20
1558,False,3
1561,False,1
1563,False,29
1564,False,16
1565,False,16
1566,False,4
1568,False,42
1569,False,12
1571,False,59
1572,False,2
1573,False,237
1574,False,115
1575,False,5
1577,False,1
1579,False,162
1580,False,13
1582,False,17
1583,False,31
1585,False,237
1586,False,6
1587,False,51
1588,False,2
1589,False,298
1592,False,35
1595,False,66
1597,False,8
1598,False,18
1599,False,103
1601,False,2
1602,False,1
1605,False,19
1607,False,20
1610,False,284
1614,False,15
1615,False,92
1616,False,22
1620,False,40
1622,False,11
1623,False,1
1624,False,113
1626,False,2
1627,False,8
1628,False,12
1633,False,7
1635,False,16
1639,False,40
1641,False,273
1642,False,25
1643,False,7
1646,False,2
1648,False,2
1649,False,7
1653,False,6
1654,False,8
1655,False,91
1659,False,82
1661,False,1
1662,False,1
1663,False,7
1664,False,300
1665,False,247
1666,False,27
1670,False,1
1671,False,11
1675,False,4
1677,False,1
1678,False,3
1681,False,35
1682,False,2
1683,False,66
1684,False,24
1686,False,2
1687,False,5
1688,False,2
1691,False,3
1692,False,18
1693,False,10
1694,False,300
1695,False,13
1702,False,4
1703,False,45
1706,False,22
1707,False,182
1710,False,100
1711,False,69
1712,False,24
1714,False,25
1718,False,10
1720,False,3
1721,False,105
1722,False,7
1725,False,9
1729,False,8
1731,False,3
1732,False,12
1735,False,8
1739,False,298
1742,True,56
1745,False,3
1746,False,1
1748,False,8
1750,False,19
1751,False,4
1752,False,13
1754,False,11
1755,False,2
1756,False,57
1757,False,37
1759,False,2
1761,False,29
1762,False,162
1763,False,14
1764,False,34
1767,False,1
1769,False,3
1771,False,15
1772,False,4
1774,False,2
1775,False,2
1776,False,54
1778,False,125
1779,False,171
1780,False,9
1784,False,1
1786,False,25
1788,False,1
1789,False,32
1794,False,28
1795,False,38
1796,False,3
1797,False,13
1799,False,6
1802,False,265
1804,False,18
1805,False,10
1807,False,16
1808,False,36
1809,False,9
1812,False,175
1815,False,168
1817,False,22
1819,False,49
1821,False,3
1822,False,16
1824,False,87
1826,False,8
1827,False,6
1829,False,8
1832,False,31
1833,False,1
1835,False,1
1837,False,34
1838,False,80
1839,False,197
1846,False,101
1850,False,217
1852,False,22
1857,False,2
1859,False,299
1860,True,80
1862,False,12
1863,False,67
1864,False,14
1865,False,2
1866,False,2
1868,False,3
1870,False,1
1872,False,1
1873,False,159
1875,False,228
1877,False,232
1879,False,15
1880,False,291
1882,False,11
1883,False,5
1885,False,6
1886,False,25
1890,False,4
1891,False,2
1894,False,265
1896,False,64
1898,False,6
1899,False,69
1900,False,114
1902,False,12
1903,False,152
1904,False,26
1905,False,26
1907,False,161
1908,False,1
1910,False,3
1913,False,32
1914,False,48
1915,True,56
1917,False,2
1918,False,300
1919,False,36
1920,False,2
1921,False,9
1922,False,16
1923,False,54
1926,False,88
1929,False,255
1930,False,293
1932,True,2
1933,False,4
1935,False,1
1938,False,277
1945,False,287
1946,False,10
1947,False,1
1948,False,70
1949,False,2
1950,False,2
1951,False,3
1952,False,16
1953,False,291
1954,False,11
1956,False,12
1958,False,4
1960,False,3
1963,False,300
1964,False,271
1968,False,300
1970,False,10
1971,False,1
1972,False,3
1973,False,48
1974,False,7
1976,False,290
1977,False,8
1978,False,5
1979,False,25
1981,False,4
1982,False,58
1983,False,23
1986,False,1
1990,False,32
1994,False,83
1995,False,4
1996,False,1
1999,False,134
2001,False,11
2003,False,26
2005,False,20
2008,False,154
2010,False,253
2011,False,230
2015,False,21
2016,False,300
2020,False,11
2022,False,18
2023,False,40
2025,False,15
2026,False,28
2027,False,202
2028,False,3
2029,False,297
2030,False,17
2031,False,84
2033,False,3
2035,False,1
2037,False,45
2038,False,9
2040,False,297
2041,False,54
2042,False,9
2044,False,30
2046,False,3
2047,False,10
2050,False,1
2051,False,14
2052,False,27
2055,False,2
2056,False,1
2057,False,1
2058,False,4
2059,False,15
2060,False,5
2064,False,2
2065,False,17
2066,False,230
2067,False,17
2069,False,7
2070,False,1
2071,False,84
2073,False,8
2076,False,24
2077,False,1
2079,False,59
2081,False,2
2082,False,5
2083,False,105
2084,False,222
2086,False,12
2088,False,75
2089,False,39
2090,False,299
2095,False,31
2096,False,1
2100,False,4
2101,False,2
2103,False,5
2105,False,14
2108,False,14
2109,False,26
2111,False,15
2112,False,5
2115,False,17
2117,False,39
2119,False,3
2120,False,66
2121,False,36
2122,False,28
2123,False,4
2124,False,2
2126,False,2
2128,False,14
2129,False,300
2130,False,300
2133,False,148
2134,False,141
2135,False,1
2137,False,61
2143,False,1
2145,False,6
2149,False,3
2150,False,15
2151,True,51
2153,False,30
2154,False,24
2155,False,3
2156,False,4
2157,False,2
2160,False,10
2161,False,50
2165,False,14
2168,False,10
2170,False,30
2171,False,82
2173,False,46
2176,False,19
2177,False,51
2178,False,7
2181,False,20
2182,False,92
2183,False,4
2187,False,55
2189,False,114
2190,False,3
2193,False,2
2194,False,18
2195,False,295
2196,False,4
2197,False,40
2198,False,15
2199,False,20
2202,False,45
2205,False,7
2206,False,2
2208,False,77
2210,False,36
2213,False,61
2214,False,299
2215,False,10
2216,False,1
2219,False,51
2220,False,40
2221,False,225
2222,False,5
2223,False,12
2226,False,1
2232,False,3
2235,False,28
2236,False,13
2238,False,111
2240,False,17
2241,False,8
2242,False,297
2243,False,20
2245,False,4
2246,False,36
2248,False,7
2250,False,1
2253,False,4
2254,False,211
2255,False,3
2257,False,17
2259,False,1
2260,False,3
2261,False,2
2262,False,2
2263,False,29
2264,False,7
2265,False,1
2267,False,4
2268,False,7
2269,False,4
2270,False,7
2271,False,1
2273,False,23
2274,False,11
2275,False,2
2277,False,27
2278,False,2
2279,False,1
2280,False,2
2281,False,26
2282,False,64
2286,False,7
2288,False,3
2289,False,299
2293,False,70
2295,False,12
2296,False,279
2297,False,120
2300,False,284
2302,False,10
2303,False,36
2305,False,271
2308,False,25
2309,False,156
2311,False,5
2312,False,1
2315,False,94
2316,False,6
2317,False,27
2319,False,21
2320,False,288
2322,False,3
2327,False,5
2329,False,2
2330,False,3
2336,False,2
2338,False,299
2339,False,4
2341,False,10
2342,False,42
2343,False,1
2344,False,186
2345,False,1
2347,False,3
2350,False,3
2351,False,18
2355,False,6
2358,False,33
2359,False,10
2362,False,5
2363,False,50
2365,False,78
2367,True,106
2368,False,6
2370,False,22
2371,False,235
2373,False,288
2374,False,43
2377,False,19
2378,False,9
2379,False,15
2381,False,212
2384,False,43
2386,False,24
2389,False,1
2390,False,14
2391,False,268
2394,False,5
2399,False,11
2403,False,3
2406,False,110
2407,False,10
2408,False,20
2409,False,1
2410,False,1
2411,False,14
2413,False,9
2414,False,21
2415,False,23
2417,False,1
2418,False,10
2419,False,108
2420,False,4
2422,False,1
2424,False,94
2425,False,16
2426,False,13
2427,False,51
2428,False,3
2430,False,2
2431,False,165
2434,False,209
2436,False,4
2437,False,1
2438,False,246
2439,False,6
2440,False,1
2441,False,20
2444,False,138
2445,False,71
2446,False,2
2448,False,4
2449,False,32
2450,False,17
2451,False,2
2452,False,7
2454,False,6
2456,False,17
2457,False,4
2458,False,300
2459,False,16
2461,False,26
2463,False,1
2467,False,29
2471,False,47
2472,False,1
2473,False,32
2476,False,167
2478,False,28
2479,False,33
2480,False,108
2481,False,19
2482,False,1
2483,False,5
2484,False,28
2486,False,74
2488,False,149
2490,False,4
2492,False,191
2494,False,32
2496,False,2
2498,False,284
2499,False,3
2501,False,2
2505,False,2
2506,False,1
2507,False,26
2508,False,2
2510,False,16
2511,False,14
2512,False,8
2513,False,3
2514,False,46
2516,False,1
2518,False,12
2519,False,1
2520,False,9
2521,False,31
2522,False,5
2523,False,3
2525,False,3
2526,False,157
2530,False,1
2533,False,18
2538,False,5
2541,False,10
2543,False,57
2544,False,10
2546,False,59
2549,False,39
2550,False,2
2551,False,1
2553,False,22
2554,False,2
2559,False,7
2560,False,295
2561,False,2
2565,False,10
2567,False,298
2569,False,13
2571,False,300
2573,False,22
2575,False,1
2576,False,6
2578,False,9
2580,False,14
2581,False,12
2585,False,76
2587,False,14
2588,False,2
2590,False,1
2591,False,21
2594,False,83
2595,False,114
2597,False,6
2598,False,11
2602,False,2
2605,False,6
2606,False,10
2607,False,300
2608,False,2
2615,False,3
2616,False,58
2618,False,7
2619,False,45
2621,False,273
2622,False,123
2623,False,4
2624,False,296
2626,False,1
2627,False,294
2628,False,8
2629,False,77
2630,False,296
2631,False,246
2632,False,142
2634,False,1
2635,False,1
2638,False,6
2640,False,1
2642,False,2
2644,False,291
2648,False,5
2649,False,3
2650,False,292
2651,False,55
2655,False,3
2657,False,42
2660,False,45
2661,False,35
2662,False,95
2664,False,10
2665,False,4
2666,False,21
2669,False,300
2677,False,27
2678,False,2
2679,False,6
2680,False,1
2682,False,34
2683,False,4
2686,False,28
2687,False,251
2689,False,2
2694,False,8
2699,False,202
2702,False,7
2704,False,4
2705,False,34
2706,False,58
2708,False,4
2713,False,37
2715,False,70
2719,False,8
2720,False,62
2722,False,27
2723,False,13
2724,False,2
2726,False,10
2727,False,207
2730,False,3
2731,False,26
2734,False,124
2737,False,28
2738,False,73
2741,False,164
2742,False,28
2743,False,148
2744,False,1
2745,False,40
2749,False,108
2754,False,14
2761,False,1
2763,False,1
2764,False,4
2766,False,7
2767,False,300
2768,False,177
2769,False,15
2771,False,55
2772,False,13
2773,False,2
2774,False,9
2777,False,1
2778,False,22
2780,False,33
2781,False,293
2783,False,3
2784,False,71
2786,False,2
2787,False,2
2790,False,3
2794,False,17
2795,False,27
2797,False,235
2798,False,105
2799,False,1
2800,False,27
2802,False,2
2803,False,6
2807,False,9
2809,False,3
2812,False,11
2817,False,7
2819,False,245
2821,False,3
2822,False,9
2825,False,7
2827,False,35
2829,False,26
2830,False,2
2832,False,28
2833,False,8
2834,False,15
2835,False,6
2836,False,90
2838,False,7
2839,False,2
2840,False,47
2841,False,9
2842,False,3
2843,False,40
2844,False,14
2845,False,14
2846,False,2
2847,False,59
2848,False,45
2850,False,3
2852,False,33
2857,False,20
2858,False,4
2859,False,10
2862,False,39
2863,False,17
2865,False,2
2866,False,165
2868,False,105
2869,False,18
2870,False,3
2872,False,1
2876,False,299
2877,False,55
2878,False,2
2880,False,36
2882,False,296
2885,False,19
2887,False,27
2888,False,2
2890,False,47
2891,False,3
2892,False,63
2893,False,229
2895,False,6
2896,False,1
2901,False,7
2902,False,9
2903,False,56
2904,False,1
2907,False,1
2909,False,8
2911,False,300
2912,False,37
2914,False,10
2915,False,12
2917,False,4
2923,False,11
2924,False,142
2925,False,18
2926,False,197
2929,False,6
2933,False,19
2935,False,5
2941,False,5
2944,False,33
2946,False,36
2948,False,19
2951,False,277
2954,False,45
2959,False,14
2962,True,51
2965,False,67
2968,False,4
2969,False,3
2971,False,20
2974,False,2
2976,False,4
2977,False,11
2979,False,3
2981,False,67
2982,False,12
2983,False,298
2984,False,5
2985,False,12
2986,False,87
2987,False,22
2988,False,300
2990,False,8
2992,False,30
2993,False,293
3001,False,154
3002,False,18
3003,False,10
3006,False,72
3009,False,221
3010,False,32
3011,False,32
3012,False,36
3013,False,34
3014,False,103
3017,False,3
3018,False,2
3019,False,5
3022,False,35
3026,False,28
3028,False,35
3032,False,9
3033,False,14
3036,False,6
3038,False,1
3040,False,8
3041,False,81
3042,False,1
3044,False,294
3045,False,15
3047,False,6
3048,False,15
3052,False,1
3053,False,1
3057,False,50
3058,False,8
3061,False,4
3063,False,1
3066,False,290
3069,False,115
3072,False,57
3073,False,300
3075,False,1
3076,False,16
3077,False,7
3082,False,58
3084,False,45
3088,False,13
3089,False,3
3090,False,2
3091,False,52
